"","country_code","age","gender","rural","dem_education_level","dem_full_time_job","dem_has_children","awareness","vote","effect","age_group","pro_anxiety","pro_equality","pro_indep","pro_solidarity","pro_bureau","pro_volunteer","pro_none","con_expensive","con_stopworking","con_foreigners","con_merit","con_need","con_dependence","con_none","pro_count","con_count"
"6147","HU",30,"male","urban","high","yes","no","I understand it fully","I would vote against it","A basic income would not affect my work choices","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,3
"6148","HU",40,"female","rural","medium","no","yes","I understand it fully","I would probably vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6149","HU",28,"male","urban","high","yes","yes","I know something about it","I would probably vote for it","A basic income would not affect my work choices","26_39",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2
"6150","HU",41,"male","urban","medium","yes","no","I have heard just a little about it","I would not vote","‰Û_ stop working","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6151","HU",40,"male","urban","low","yes","yes","I have heard just a little about it","I would vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2
"6152","HU",27,"female","urban","high","yes","no","I know something about it","I would probably vote for it","A basic income would not affect my work choices","26_39",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,3
"6153","HU",40,"male","urban","high","yes","no","I understand it fully","I would vote for it","‰Û_ spend more time with my family","40_65",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
"6154","HU",32,"female","urban","medium","yes","no","I understand it fully","I would vote for it","‰Û_ work as a freelancer","26_39",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,3
"6155","HU",34,"male","urban","medium","no","no","I have heard just a little about it","I would probably vote for it","‰Û_ gain additional skills","26_39",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,3
"6156","HU",48,"male","urban","low","no","yes","I have never heard of it","I would probably vote for it","‰Û_ work less","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6157","HU",62,"male","urban","medium","no","yes","I know something about it","I would probably vote for it","A basic income would not affect my work choices","40_65",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,4
"6158","HU",35,"male","rural","medium","yes","yes","I know something about it","I would probably vote against it","‰Û_ work less","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,5
"6159","HU",28,"male","rural","high","no","no","I know something about it","I would probably vote against it","A basic income would not affect my work choices","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,3
"6160","HU",26,"male","urban","no","no","no","I know something about it","I would probably vote against it","‰Û_ spend more time with my family","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1
"6161","HU",27,"female","rural","low","no","yes","I know something about it","I would not vote","None of the above","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1
"6162","HU",23,"male","urban","high","no","no","I understand it fully","I would vote for it","‰Û_ spend more time with my family","14_25",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1
"6163","HU",23,"female","urban","high","yes","no","I have heard just a little about it","I would vote against it","None of the above","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,4
"6164","HU",59,"female","urban","low","no","yes","I know something about it","I would vote for it","A basic income would not affect my work choices","40_65",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6165","HU",26,"male","urban","high","no","no","I know something about it","I would vote against it","‰Û_ stop working","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,4
"6166","HU",47,"male","urban","medium","yes","yes","I have heard just a little about it","I would vote for it","A basic income would not affect my work choices","40_65",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,2
"6167","HU",47,"female","rural","no","yes","no","I have heard just a little about it","I would probably vote for it","A basic income would not affect my work choices","40_65",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
